id,created_at,text,hashtag
283238700610109440,2012-12-24 15:52:23,Tornado outbreak forecast for Christmas day  in Lower MS valley and Central Gulf states http://t.co/mjm7Md0j,
278535670706880512,2012-12-11 16:24:13,"Weather History: Indianola, Texas was wiped out by hurricane in 1886, remains underwater ghost town http://t.co/NEAa0U1T (via @science)",
277323576569372672,2012-12-08 08:07:47,"Rare tornado hits New Zealand suburb, destroys 150 homes http://t.co/SEG8E6Mk (via @science)",
273655336550924288,2012-11-28 05:11:31,"California flood threat from ""Atmosphere River"" says Weather Channel http://t.co/CDhzzm26",
267237885462327298,2012-11-10 12:10:51,The Weather Channel says Winter Storm Brutus will bring big snow and severe storms http://t.co/9HDTNEoO,
266454735534579713,2012-11-08 08:18:54,Snowfall totals and highest wind gusts from Nor'easter so far http://t.co/s0HO5ERd,
266323549428523008,2012-11-07 23:37:36,National Weather Service tells its forecasters not to use The Weather Channel's name (Athena) for storm http://t.co/I6iZYqg9,
266290444063870976,2012-11-07 21:26:03,Central Park reporting heavy snow with 1/4 mile visibility. Radar: http://t.co/te1ukHQH (via @weatherchannel),
265591465890160640,2012-11-05 23:08:34,Mayor Bloomberg warns of more flooding from Nor'easter http://t.co/glMdYjPi,
265262146928128000,2012-11-05 01:19:58,Significant Noreaster appears likely for latter half of work week in Northeast http://t.co/Yv9bAAdt (via @usNWSgov),
264764169524477952,2012-11-03 16:21:11,The Weather Channel says there are fears of a Ratpocalypse in New York City http://t.co/z48rNYkQ,
264763350750224384,2012-11-03 16:17:56,New storm a coastal flood threat for already battered and duneless New Jersey coastline http://t.co/ahLCuSCu,
264547705869705217,2012-11-03 02:01:02,The Weather Channel says a new storm a possibility for storm weary East Coast next week http://t.co/pjv2PJre,
264131801906290688,2012-11-01 22:28:23,Nor'easter possible along East Coast next week http://t.co/8NcsHEf6,
263578363426402304,2012-10-31 09:49:13,Superstorm Sandy dumps heavy snow in Maryland and West Virginia http://t.co/WspyjAOT,
262741852954963968,2012-10-29 02:25:13,"RT @NWSNewYorkNY Already observing surge values of 2-3 ft in NY Harbor, LI Sound, Raritan Bay, and South Shore Bays",
262666172384813056,2012-10-28 21:24:30,Hurricane Sandy likely to damage windows in skyscrapers http://t.co/qJoI2HVn,
262639737125339136,2012-10-28 19:39:27,National Hurricane Center director Rick Knabb says Hurricane Sandy will be a long duration event http://t.co/umea3lv5,
262321960632086528,2012-10-27 22:36:43,"Map showing tropical storm, flood &amp; high wind watches and warnings along U.S. east coast &amp; inland http://t.co/LOwg29Gm (via @hurricanes)",
261900312066002944,2012-10-26 18:41:14,Map from Hydrometeorological Prediction Center shows copious rainfall amounts expected from Hurricane Sandy http://t.co/IDY8AcOi,
261578748246228992,2012-10-25 21:23:28,Frankenstorm Sandy: Likelihood of historic U.S. east coast monster hybrid storm increasing http://t.co/oZ1gWjZi (via @science),
260943252709060608,2012-10-24 03:18:14,The Weather Channel discusses possibility of Tropical Storm Sandy becoming an intense East Coast storm http://t.co/SfQ4C4ms,
259389548507848704,2012-10-19 20:24:22,"UK has experienced its ""weirdest"" weather on record in the past few months, scientists say http://t.co/ijdxC4NC",
259098433158275072,2012-10-19 01:07:34,Dust storm shuts down I-35 in Northern Oklahoma http://t.co/2wP8gF14,
253302691634245633,2012-10-03 01:17:22,The Weather Channel to start naming winter storms this year http://t.co/HWODq7mn (via @science),
248238201897103360,2012-09-19 01:52:54,RT @science: 100-foot high firenado caught on film in Australian Outback http://t.co/Q4MI2KGw,
247141556379856897,2012-09-16 01:15:13,RT @science: Hoar Frost explained http://t.co/bQ61cuqB,
233445650321260545,2012-08-09 06:12:34,NOAA says July 2012 was the hottest month on record for contiguous United States http://t.co/CaD2r3xu,
233409021032423424,2012-08-09 03:47:01,This summer's heat waves and growing drought being blamed for numerous mass fish deaths. http://t.co/dFMPOaWC,
228871412960620545,2012-07-27 15:16:11,July could set record for fewest tornadoes http://t.co/JroPjKfH,
222399068415066113,2012-07-09 18:37:24,18 deaths blamed on recent heat wave in Chicago http://t.co/4IYgYDXX,
222164718423519234,2012-07-09 03:06:11,Heat linked to at least 66 deaths in U.S. over the past two weeks http://t.co/3p6JET66,
221685899484856321,2012-07-07 19:23:31,Washington D.C. hits record high 103 Fahrenheit http://t.co/BJfw6SSR,
220458445407653888,2012-07-04 10:06:03,"1 million people still without power following Derecho, death toll from storms + heat wave hits 23 http://t.co/aZRzU8CJ",
220055505035468800,2012-07-03 07:24:55,"22 deaths linked to thunderstorms, heat wave in U.S., more deaths suspected http://t.co/H0xFZwPK (via @newsalert)",
219887305526231040,2012-07-02 20:16:33,The Weather Channel acquires Weather Underground http://t.co/HOYeekkV (via @writenews),
219354498597007360,2012-07-01 08:59:22,Powerful Derecho leaves millions without power during Summer Heat Wave http://t.co/Tj0GRb1g,
